Link,image,DoctorName,Location,City,Specialiter
https://www.dabadoc.com/ma/allergologue/fes/mouna-chrifi-alaoui,"https://res.cloudinary.com/hh9gnin1v/image/upload/c_thumb,f_auto,g_face,h_115,w_115/v1684316941/63f63eafa065580022a66d71_photo_1.jpg",Dr Mouna Chrifi Alaoui,Allal ben Abdellah,fes,Pneumologue
https://www.dabadoc.com/ma/pneumologue/fes/samira-elhord,https://www.dabadoc.com/defaults/doctor.jpg,Dr Samira Elhord, Not Found,fes,Pneumologue
https://www.dabadoc.com/ma/pneumologue/fes/khalid-abdellaoui-maane,https://www.dabadoc.com/defaults/doctor.jpg,Khalid Abdellaoui Maane, Not Found,fes,Pneumologue
https://www.dabadoc.com/ma/allergologue/fes/mohamed-daoudi,https://www.dabadoc.com/defaults/doctor.jpg,Mohamed Daoudi,Ville nouvelle,fes,Pneumologue
https://www.dabadoc.com/ma/pneumologue/fes/fatima-khidraoui-elalami,https://www.dabadoc.com/defaults/doctor.jpg,Fatima Khidraoui Elalami, Not Found,fes,Pneumologue
https://www.dabadoc.com/ma/pneumologue/fes/meryem-elhammoumi,https://www.dabadoc.com/defaults/doctor.jpg,Meryem Elhammoumi, Not Found,fes,Pneumologue
https://www.dabadoc.com/ma/pneumologue/fes/mohamed-bouayad,https://www.dabadoc.com/defaults/doctor.jpg,Mohamed Bouayad, Not Found,fes,Pneumologue
https://www.dabadoc.com/ma/pneumologue/fes/mohamed-elhatimi,https://www.dabadoc.com/defaults/doctor.jpg,Mohamed Elhatimi, Not Found,fes,Pneumologue
https://www.dabadoc.com/ma/pneumologue/fes/abdelmajid-azaroual,https://www.dabadoc.com/defaults/doctor.jpg,Abdelmajid Azaroual,Fes-Medina,fes,Pneumologue
https://www.dabadoc.com/ma/pneumologue/fes/fatima-zohra-elotmani,https://www.dabadoc.com/defaults/doctor.jpg,Dr Fatima Zohra Elotmani, Not Found,fes,Pneumologue
https://www.dabadoc.com/ma/allergologue/fes/amina-el-hattab,https://www.dabadoc.com/defaults/doctor.jpg,Dr Amina El Hattab,Bd FAR,fes,Pneumologue
https://www.dabadoc.com/ma/allergologue/fes/el-hammoumi-meryem,https://www.dabadoc.com/defaults/doctor.jpg,Dr El Hammoumi Meryem,triangle d'or,fes,Pneumologue
